Feature_Set,Model_Name,Best_Params,CV_Pearson,Test_Pearson,Test_RMSE,Test_MAE,Test_R2,Selected_Features,Pearson_MSRpar,Pearson_MSRvid,Pearson_SMTeuroparl,Pearson_surprise.OnWN,Pearson_surprise.SMTnews
lexical,GradientBoosting,"{'feature_selector': RFE(estimator=RandomForestRegressor(random_state=42)), 'feature_selector__n_features_to_select': 38, 'model': GradientBoostingRegressor(random_state=42), 'model__learning_rate': 0.025, 'model__max_depth': 9, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'model__subsample': 0.5}",0.859306363216646,0.7443896464390227,1.0068622904559648,0.7779827321171242,0.46041707092734463,"lex_longest_common_substring_norm, lex_longest_common_subsequence_norm, lex_greedy_string_tiling, lex_char_2gram_jaccard, lex_char_3gram_jaccard, lex_char_4gram_jaccard, lex_char_5gram_jaccard, lex_char_6gram_jaccard, lex_char_7gram_jaccard, lex_char_8gram_jaccard, lex_char_9gram_jaccard, lex_char_10gram_jaccard, lex_char_11gram_jaccard, lex_char_12gram_jaccard, lex_char_13gram_jaccard, lex_char_14gram_jaccard, lex_char_15gram_jaccard, lex_word_1gram_containment_no_stop, lex_word_2gram_containment_no_stop, lex_word_1gram_jaccard, lex_word_3gram_jaccard, lex_word_4gram_jaccard, lex_word_2gram_jaccard_no_stop, lex_word_4gram_jaccard_no_stop, lex_levenshtein_normalized, lex_jaro_similarity, lex_jaro_winkler_similarity, lex_monge_elkan_similarity, lex_ngram_overlap_1, lex_ngram_overlap_2, lex_ngram_overlap_3, lex_content_ngram_overlap_1, lex_content_ngram_overlap_2, lex_content_ngram_overlap_3, lex_skip_ngram_overlap_2, lex_skip_ngram_overlap_3, lex_wordnet_augmented_overlap, lex_weighted_word_overlap",0.6463196317878949,0.8636329191641907,0.5151864786285305,0.6664255877524151,0.5251425483508878
lexical,RandomForest,"{'feature_selector': RFE(estimator=RandomForestRegressor(random_state=42)), 'feature_selector__n_features_to_select': 38, 'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__max_features': None, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.8588375118135785,0.7352640951702442,1.0215296334914659,0.7877130480480483,0.4445819504531081,"lex_longest_common_substring_norm, lex_longest_common_subsequence_norm, lex_greedy_string_tiling, lex_char_2gram_jaccard, lex_char_3gram_jaccard, lex_char_4gram_jaccard, lex_char_5gram_jaccard, lex_char_6gram_jaccard, lex_char_7gram_jaccard, lex_char_8gram_jaccard, lex_char_9gram_jaccard, lex_char_10gram_jaccard, lex_char_11gram_jaccard, lex_char_12gram_jaccard, lex_char_13gram_jaccard, lex_char_14gram_jaccard, lex_char_15gram_jaccard, lex_word_1gram_containment_no_stop, lex_word_2gram_containment_no_stop, lex_word_1gram_jaccard, lex_word_3gram_jaccard, lex_word_4gram_jaccard, lex_word_2gram_jaccard_no_stop, lex_word_4gram_jaccard_no_stop, lex_levenshtein_normalized, lex_jaro_similarity, lex_jaro_winkler_similarity, lex_monge_elkan_similarity, lex_ngram_overlap_1, lex_ngram_overlap_2, lex_ngram_overlap_3, lex_content_ngram_overlap_1, lex_content_ngram_overlap_2, lex_content_ngram_overlap_3, lex_skip_ngram_overlap_2, lex_skip_ngram_overlap_3, lex_wordnet_augmented_overlap, lex_weighted_word_overlap",0.6426938988374581,0.8601792732751377,0.49724966275672905,0.6748622322912426,0.5105402307838579
lexical,SVR,"{'feature_selector': RFE(estimator=RandomForestRegressor(random_state=42)), 'feature_selector__n_features_to_select': 30, 'model': SVR(), 'model__C': 10, 'model__epsilon': 0.2, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.8510209281500133,0.7347983443533521,1.0222894160260398,0.7895223942088602,0.44375543724427713,"lex_longest_common_substring_norm, lex_longest_common_subsequence_norm, lex_greedy_string_tiling, lex_char_2gram_jaccard, lex_char_3gram_jaccard, lex_char_4gram_jaccard, lex_char_5gram_jaccard, lex_char_7gram_jaccard, lex_char_9gram_jaccard, lex_char_10gram_jaccard, lex_char_11gram_jaccard, lex_char_15gram_jaccard, lex_word_1gram_containment_no_stop, lex_word_2gram_containment_no_stop, lex_word_1gram_jaccard, lex_word_3gram_jaccard, lex_word_2gram_jaccard_no_stop, lex_levenshtein_normalized, lex_jaro_similarity, lex_jaro_winkler_similarity, lex_monge_elkan_similarity, lex_ngram_overlap_1, lex_ngram_overlap_2, lex_ngram_overlap_3, lex_content_ngram_overlap_1, lex_content_ngram_overlap_2, lex_skip_ngram_overlap_2, lex_skip_ngram_overlap_3, lex_wordnet_augmented_overlap, lex_weighted_word_overlap",0.6378959927368655,0.8516229903640375,0.4195504510907273,0.6083132313667489,0.49439960005558686
syntactic,GradientBoosting,"{'feature_selector': RFE(estimator=RandomForestRegressor(random_state=42)), 'feature_selector__n_features_to_select': 18, 'model': GradientBoostingRegressor(random_state=42), 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__min_samples_split': 7, 'model__n_estimators': 200, 'model__subsample': 0.75}",0.8287421721080463,0.6296731638473996,1.2044214216555555,0.9342482768074581,0.22789744024964786,"syn_stopword_ngram_overlap_2, syn_stopword_ngram_overlap_3, syn_stopword_ngram_overlap_4, syn_stopword_ngram_overlap_5, syn_stopword_ngram_overlap_6, syn_stopword_ngram_overlap_7, syn_stopword_ngram_overlap_8, syn_stopword_ngram_overlap_9, syn_stopword_ngram_overlap_10, syn_pos_2gram_jaccard, syn_pos_3gram_jaccard, syn_pos_4gram_jaccard, syn_word_pair_order, syn_word_pair_distance, syn_syntactic_similarity_subject, syn_syntactic_similarity_object, syn_syntactic_similarity_predicate, syn_dependency_overlap",0.47372286912667533,0.8297681344674837,0.3544175103823187,0.5235091474826661,0.24986065346251796
syntactic,RandomForest,"{'feature_selector': RFE(estimator=RandomForestRegressor(random_state=42)), 'feature_selector__n_features_to_select': 18, 'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.827905535627823,0.6412738585996731,1.16922866458579,0.9385913658750358,0.27235934243856097,"syn_stopword_ngram_overlap_2, syn_stopword_ngram_overlap_3, syn_stopword_ngram_overlap_4, syn_stopword_ngram_overlap_5, syn_stopword_ngram_overlap_6, syn_stopword_ngram_overlap_7, syn_stopword_ngram_overlap_8, syn_stopword_ngram_overlap_9, syn_stopword_ngram_overlap_10, syn_pos_2gram_jaccard, syn_pos_3gram_jaccard, syn_pos_4gram_jaccard, syn_word_pair_order, syn_word_pair_distance, syn_syntactic_similarity_subject, syn_syntactic_similarity_object, syn_syntactic_similarity_predicate, syn_dependency_overlap",0.48589241965588637,0.8228221401592569,0.37309926467809096,0.545818226520996,0.30605736082340107
syntactic,SVR,"{'feature_selector': RFE(estimator=RandomForestRegressor(random_state=42)), 'feature_selector__n_features_to_select': 18, 'model': SVR(), 'model__C': 10, 'model__epsilon': 0.2, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.7953874930749546,0.5766095101729777,1.313904494959398,1.0207618482067873,0.08114782719424163,"syn_stopword_ngram_overlap_2, syn_stopword_ngram_overlap_3, syn_stopword_ngram_overlap_4, syn_stopword_ngram_overlap_5, syn_stopword_ngram_overlap_6, syn_stopword_ngram_overlap_7, syn_stopword_ngram_overlap_8, syn_stopword_ngram_overlap_9, syn_stopword_ngram_overlap_10, syn_pos_2gram_jaccard, syn_pos_3gram_jaccard, syn_pos_4gram_jaccard, syn_word_pair_order, syn_word_pair_distance, syn_syntactic_similarity_subject, syn_syntactic_similarity_object, syn_syntactic_similarity_predicate, syn_dependency_overlap",0.42265772977127714,0.7858920252505887,0.31887089279568576,0.5068196899975907,0.3451671898752538
semantic,GradientBoosting,"{'feature_selector': RFE(estimator=RandomForestRegressor(random_state=42)), 'feature_selector__n_features_to_select': 20, 'model': GradientBoostingRegressor(random_state=42), 'model__learning_rate': 0.025, 'model__max_depth': 7, 'model__min_samples_split': 5, 'model__n_estimators': 250, 'model__subsample': 0.5}",0.7504427476445986,0.5853040054192113,1.2426750141440612,0.9749083392309918,0.1780731224041453,"sem_avg_word_similarity, sem_esa_similarity, sem_avg_word_similarity_lexsub, sem_avg_word_similarity_smt, sem_dt_similarity_cardinal_numbers, sem_numbers_overlap, sem_named_entity_overlap, sem_named_entity_overlap_PERSON, sem_named_entity_overlap_DATE, sem_named_entity_overlap_CARDINAL, sem_length_difference, sem_information_content_difference, sem_named_entity_overlap_ORG, sem_named_entity_overlap_ORDINAL, sem_named_entity_overlap_NORP, sem_named_entity_overlap_LOC, sem_named_entity_overlap_PERCENT, sem_named_entity_overlap_GPE, sem_named_entity_overlap_TIME, sem_named_entity_overlap_WORK_OF_ART",0.3988635602063441,0.7512282213851761,0.3930777092700946,0.49099131934436774,0.43653149151769094
semantic,RandomForest,"{'feature_selector': RFE(estimator=RandomForestRegressor(random_state=42)), 'feature_selector__n_features_to_select': 20, 'model': RandomForestRegressor(random_state=42), 'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.7204365367017791,0.570938454178261,1.1985770680138446,0.9985431413235512,0.23537238582459963,"sem_avg_word_similarity, sem_esa_similarity, sem_avg_word_similarity_lexsub, sem_avg_word_similarity_smt, sem_dt_similarity_cardinal_numbers, sem_numbers_overlap, sem_named_entity_overlap, sem_named_entity_overlap_PERSON, sem_named_entity_overlap_DATE, sem_named_entity_overlap_CARDINAL, sem_length_difference, sem_information_content_difference, sem_named_entity_overlap_ORG, sem_named_entity_overlap_ORDINAL, sem_named_entity_overlap_NORP, sem_named_entity_overlap_LOC, sem_named_entity_overlap_PERCENT, sem_named_entity_overlap_GPE, sem_named_entity_overlap_TIME, sem_named_entity_overlap_WORK_OF_ART",0.40551089269582286,0.7294221921049022,0.43793243346663563,0.5179702654481063,0.4708882775289431
semantic,SVR,"{'feature_selector': RFE(estimator=RandomForestRegressor(random_state=42)), 'feature_selector__n_features_to_select': 20, 'model': SVR(), 'model__C': 10, 'model__epsilon': 0.2, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.7034006828934514,0.5500744086773401,1.2617182535630016,0.9944102191428457,0.15268904373306835,"sem_avg_word_similarity, sem_esa_similarity, sem_avg_word_similarity_lexsub, sem_avg_word_similarity_smt, sem_dt_similarity_cardinal_numbers, sem_numbers_overlap, sem_named_entity_overlap, sem_named_entity_overlap_PERSON, sem_named_entity_overlap_DATE, sem_named_entity_overlap_CARDINAL, sem_length_difference, sem_information_content_difference, sem_named_entity_overlap_ORG, sem_named_entity_overlap_ORDINAL, sem_named_entity_overlap_NORP, sem_named_entity_overlap_LOC, sem_named_entity_overlap_PERCENT, sem_named_entity_overlap_GPE, sem_named_entity_overlap_TIME, sem_named_entity_overlap_WORK_OF_ART",0.35293464794490204,0.732148928647949,0.3773990716245011,0.4755274659896202,0.34730054877730965
stylistic,GradientBoosting,"{'feature_selector': RFE(estimator=RandomForestRegressor(random_state=42)), 'feature_selector__n_features_to_select': 3, 'model': GradientBoostingRegressor(random_state=42), 'model__learning_rate': 0.025, 'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.4}",0.5208810985032634,0.18960549154733997,1.5138944697552073,1.286176244432533,-0.21985793308647184,"sty_function_word_freq_similarity, sty_ttr_difference, sty_sttr_difference",0.15787779920589623,0.15684545811611394,0.05858032076742162,-0.05346910095170099,0.17448789021715327
